SP,SIReN_r81_c42,SIReN_r66_c34,SIReN_r35_c60,SIReN_r77_c56,SIReN_r58_c51,SIReN_r45_c36,SIReN_r70_c35,SIReN_r37_c40,SIReN_r39_c54,SIReN_r74_c58,SIReN_r54_c37,SIReN_r49_c31,SIReN_r71_c61,SIReN_r67_c31,SIReN_r59_c44,SIReN_r72_c42,SIReN_r68_c53,SIReN_r73_c62,SIReN_r58_c37,SIReN_r35_c36
10,602.6748330298575,5.83e-322,446.73561321105694,1186.6906873238825,0.3077840695481377,717.8318936018418,1477.730632144964,528.8920454943869,754.5845197447885,748.1413221286846,135.16272514872782,242.52893716537378,83.53956304586217,740.5661819100277,15886.933307244602,76641.86934094358,89.15356306262383,307.92385049347735,1.5321781164925996e-28,612.8569499762956
11,514.651847567128,5e-324,273.61336380297087,1572.655743015027,0.16134700727145268,771.2831925003211,1461.0674453915756,415.5616869754638,994.936138630747,728.18259677968,127.0385812723684,238.11410116602002,90.37908269943034,7.437754639041618,4705.312157111061,18663.231143154586,2132.5646710693013,388.44512799885956,6.95503176644581e-27,578.9125958943379
12,426.5625843238352,2.67e-322,191.97187279968168,1852.6049716449731,0.06845474632366419,794.3680085379171,1455.6042072526527,1104.8908850936912,2602.158748172538,707.4403425256577,118.8393207514648,233.44674055447246,97.01162516492323,3.9444295188693114e-05,41974.07808500712,26116.99422324288,3352.6521352906025,444.1425657996532,2.4957543741406522e-25,545.0743680841334
13,345.2027557856304,2e-323,211.46418841771512,1897.867384297741,0.024060080154713042,780.655487960341,1422.3587422309736,1719.3953261943705,4085.2982033033973,685.6825429670145,110.62208836947569,228.33661774232817,114.07969127117588,2.3560171881778903e-14,4007.601205750388,10774.210939087227,3787.004806691338,465.7230133214687,7.992040083302719e-24,511.47008738862826
14,274.8789703171039,6.4e-323,311.5604146811769,1654.05011475513,0.018159266627150564,748.1532822274196,1330.0885025119633,2228.0850730538323,5372.407483529896,662.6391344657072,102.44922767246008,222.66995204720436,172.11065973300882,2.786616768061458e-28,5790.1086958446285,3712.5001405829444,3775.05668237669,476.94850282432895,2.378008538279988e-22,478.2120770018006
15,15.666516387853136,2.5e-323,368.05397323960267,1151.8348886424535,0.008420112091379658,742.2770818513383,1185.1469325814587,2614.5595532146713,6377.95849280278,638.3103230033706,94.3894124641355,216.2141100387848,269.22691443734215,8.798497275352089e-48,49075.724389517425,7138.369958099602,3615.98272528129,483.686330905059,6.6869962145231146e-21,445.353036386633
16,0.0031359435654425213,1.24e-322,391.55098682028347,451.56469862947824,0.14229204812084004,824.5435279723907,1024.3494140868263,2872.341106500848,7001.118130104431,612.975854857951,86.52593866435195,208.82612658182413,350.7304946057474,5.2454810288946455e-74,20108.002886176426,109.18447086478993,3461.5376986622537,488.587380393156,1.8037782426944657e-19,412.88751891807095
17,8.087357949403054e-09,1e-322,395.96249658699884,983.8893725393102,2.068264277525758,1046.3554409832593,897.0171074294013,3005.8691460278374,5367.282392537516,586.6676324472857,78.95736253721557,200.38911591347423,383.8454784679565,9.595490260452273e-109,28926.50293049864,7729.768817278308,3288.7444053497384,488.6646610902589,4.7544267514799396e-18,380.844762597775
18,7.974215365646859e-16,1.09e-321,381.74463506468675,1763.5270882213204,11.973705246912816,1421.8679438952072,846.1301215653989,3010.8622831350867,1382.5266720518816,559.097106404806,71.78463924178315,190.8689423912492,396.3498949433586,1.6104956815152124e-155,272656.03022866993,5918.901134178294,2961.1522333623975,483.9815310516169,1.245672015276337e-16,349.37066740275475
19,7.827857358404586e-24,1e-323,363.6294776481027,2364.6422969913297,36.26032019528138,1905.5497495163856,894.2333934767263,2812.956212213626,24.825349046413336,530.1742262036277,65.04719068154829,180.19424088292854,402.0442823084222,2.2473103190681e-223,209798.7175750281,8915.129162644398,2335.9224169473882,477.0605607274914,3.251850431445214e-15,318.65580298721454
