name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp177,1.37892e-06,0,1.37892e-06,1.37892e-06,1.37892e-06,1.37892e-06,0.0810831,0.0720318,9.28893e-05,0.344489,0.00905124,0.153115,9.15104e-05
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp178,1.97815e-09,0,1.97815e-09,1.97815e-09,1.97815e-09,1.97815e-09,0.129082,0.113076,0.000272734,0.54127,0.0160062,0.242158,0.000272732
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp179,3.33322e-07,0,3.33322e-07,3.33322e-07,3.33322e-07,3.33322e-07,0.197872,0.170668,0.000764154,0.81778,0.0272038,0.368539,0.000763821
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp18,3.0659e-07,0,3.0659e-07,3.0659e-07,3.0659e-07,3.0659e-07,73.7742,64.9354,0.0708922,341.627,8.83874,138.71,0.0708919
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp180,1.97815e-09,0,1.97815e-09,1.97815e-09,1.97815e-09,1.97815e-09,0.293729,0.248865,0.00190206,1.19415,0.0448645,0.542594,0.00190206
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp181,6.45964e-08,0,6.45964e-08,6.45964e-08,6.45964e-08,6.45964e-08,0.424266,0.35202,0.00279577,1.69256,0.0722459,0.776287,0.00279571
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp182,1.97815e-09,0,1.97815e-09,1.97815e-09,1.97815e-09,1.97815e-09,0.598691,0.484684,0.00406587,2.33707,0.114008,1.08337,0.00406587
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp183,9.42282e-09,0,9.42282e-09,9.42282e-09,9.42282e-09,9.42282e-09,0.828118,0.651502,0.00587184,3.15345,0.176617,1.47962,0.00587183
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp184,1.97815e-09,0,1.97815e-09,1.97815e-09,1.97815e-09,1.97815e-09,1.1259,0.857131,0.00843532,4.16905,0.268768,1.98303,0.00843532
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp185,-2.36241e-10,0,-2.36241e-10,-2.36241e-10,-2.36241e-10,-2.36241e-10,1.50795,1.10616,0.0120538,5.41265,0.401793,2.61411,0.0120538
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp186,1.97815e-09,0,1.97815e-09,1.97815e-09,1.97815e-09,1.97815e-09,1.99309,1.40306,0.017113,6.91436,0.590031,3.39615,0.017113
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp187,-1.73486e-09,0,-1.73486e-09,-1.73486e-09,-1.73486e-09,-1.73486e-09,2.60329,1.75216,0.0240969,8.70552,0.851134,4.35544,0.0240969
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp188,1.97815e-09,0,1.97815e-09,1.97815e-09,1.97815e-09,1.97815e-09,3.36391,2.15761,0.033596,10.8186,1.2063,5.52152,0.033596
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp189,-1.94609e-09,0,-1.94609e-09,-1.94609e-09,-1.94609e-09,-1.94609e-09,4.3039,2.62345,0.0463124,13.2872,1.68045,6.92734,0.0463124
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp19,1.45519e-11,0,1.45519e-11,1.45519e-11,1.45519e-11,1.45519e-11,94.9232,79.7855,0.144065,423.658,15.1377,174.709,0.144065
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp190,1.97815e-09,0,1.97815e-09,1.97815e-09,1.97815e-09,1.97815e-09,5.4559,3.1536,0.0630634,16.1459,2.30229,8.6095,0.0630634
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp191,-1.97383e-09,0,-1.97383e-09,-1.97383e-09,-1.97383e-09,-1.97383e-09,6.85634,3.75196,0.0847833,19.4303,3.10438,10.6083,0.0847833
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp192,1.97815e-09,0,1.97815e-09,1.97815e-09,1.97815e-09,1.97815e-09,8.54553,4.42243,0.112525,23.1774,4.1231,12.968,0.112525
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp193,-1.97724e-09,0,-1.97724e-09,-1.97724e-09,-1.97724e-09,-1.97724e-09,10.5677,5.16901,0.147463,27.4252,5.39868,15.7367,0.147463
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp194,1.97815e-09,0,1.97815e-09,1.97815e-09,1.97815e-09,1.97815e-09,12.971,5.99589,0.190894,32.2132,6.97512,18.9669,0.190894
